kanwil,nama_upt
Lampung,LAPAS KELAS IIA KOTABUMI
Lampung,LAPAS KELAS IIA METRO
Lampung,LAPAS KELAS IIA NARKOTIKA BANDAR LAMPUNG
Lampung,LAPAS KELAS IIA PEREMPUAN BANDAR LAMPUNG
Lampung,LAPAS KELAS IIB GUNUNG SUGIH
Lampung,LAPAS KELAS IIB KOTA AGUNG
Lampung,LAPAS KELAS IIB WAYKANAN
Lampung,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II BANDAR LAMPUNG
Lampung,RUTAN KELAS I BANDAR LAMPUNG
Lampung,RUTAN KELAS IIB KOTA AGUNG
Lampung,RUTAN KELAS IIB KOTABUMI
Lampung,RUTAN KELAS IIB KRUI
Lampung,RUTAN KELAS IIB MENGGALA
Lampung,RUTAN KELAS IIB SUKADANA
Maluku,BAPAS KELAS II AMBON
Maluku,BAPAS KELAS II SAUMLAKI
Maluku,LAPAS KELAS IIA AMBON
Maluku,LAPAS KELAS IIB PIRU
Maluku,LAPAS KELAS IIB TUAL
Maluku,LAPAS KELAS III BANDANAIRA
Maluku,LAPAS KELAS III DOBO
Maluku,LAPAS KELAS III GESER
Maluku,LAPAS KELAS III NAMLEA
Maluku,LAPAS KELAS III SAPARUA
Maluku,LAPAS KELAS III SAUMLAKI
Maluku,LAPAS KELAS III WAHAI
Maluku,LAPAS KELAS III WONRELI
Maluku,LAPAS PEREMPUAN KELAS III AMBON
Maluku,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II AMBON
Maluku,RUTAN KELAS IIA AMBON
Maluku,RUTAN KELAS IIB MASOHI
Maluku Utara,BAPAS KELAS II TIDORE
Maluku Utara,LAPAS KELAS IIA TERNATE
Maluku Utara,LAPAS KELAS IIB JAILOLO
Maluku Utara,LAPAS KELAS IIB SANANA
Maluku Utara,LAPAS KELAS IIB TOBELLO
Maluku Utara,LAPAS KELAS III LABUHA
Maluku Utara,LAPAS PEREMPUAN KELAS III TERNATE
Maluku Utara,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II TERNATE
Maluku Utara,RUTAN KELAS IIB SOA SIU
Maluku Utara,RUTAN KELAS IIB TERNATE
Maluku Utara,RUTAN KELAS IIB WEDA
Nusa Tenggara Barat,BAPAS KELAS I MATARAM
Nusa Tenggara Barat,LAPAS KELAS IIA LOMBOK BARAT
Nusa Tenggara Barat,LAPAS KELAS IIA SUMBAWA BESAR
Nusa Tenggara Barat,LAPAS KELAS IIB DOMPU
Nusa Tenggara Barat,LAPAS KELAS IIB SELONG
Nusa Tenggara Barat,LAPAS PEREMPUAN KELAS III MATARAM
Nusa Tenggara Barat,LAPAS TERBUKA KELAS IIB LOMBOK TENGAH
Nusa Tenggara Barat,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS II LOMBOK TENGAH
Nusa Tenggara Barat,RUTAN KELAS IIB PRAYA
Nusa Tenggara Barat,RUTAN KELAS IIB RABA BIMA
Nusa Tenggara Timur,BAPAS KELAS II KUPANG
Nusa Tenggara Timur,BAPAS KELAS II WAIKABUBAK
Nusa Tenggara Timur,LAPAS KELAS IIA KUPANG
Nusa Tenggara Timur,LAPAS KELAS IIA WAINGAPU
Nusa Tenggara Timur,LAPAS KELAS IIB ATAMBUA
Nusa Tenggara Timur,LAPAS KELAS IIB ENDE
Nusa Tenggara Timur,LAPAS KELAS IIB KALABAHI
Nusa Tenggara Timur,LAPAS KELAS IIB TERBUKA WAIKABUBAK
Nusa Tenggara Timur,LAPAS KELAS IIB WAIKABUBAK
Nusa Tenggara Timur,LAPAS KELAS III BAA
Nusa Tenggara Timur,LAPAS KELAS III LEMBATA
Nusa Tenggara Timur,LAPAS PEREMPUAN KELAS IIB KUPANG
Nusa Tenggara Timur,LEMBAGA PEMBINAAN KHUSUS ANAK KELAS I KUPANG
Nusa Tenggara Timur,RUTAN KELAS IIB BAJAWA
Nusa Tenggara Timur,RUTAN KELAS IIB KEFAMENANU
Nusa Tenggara Timur,RUTAN KELAS IIB KUPANG
Nusa Tenggara Timur,RUTAN KELAS IIB LARANTUKA
Nusa Tenggara Timur,RUTAN KELAS IIB MAUMERE
Nusa Tenggara Timur,RUTAN KELAS IIB RUTENG
Nusa Tenggara Timur,RUTAN KELAS IIB SOE
Papua,BAPAS KELAS II JAYAPURA
Papua,BAPAS KELAS II KEEROM
Papua,BAPAS KELAS II MERAUKE
Papua,LAPAS KELAS IIA ABEPURA
Papua,LAPAS KELAS IIA NARKOTIKA JAYAPURA
Papua,LAPAS KELAS IIB BIAK
Papua,LAPAS KELAS IIB MERAUKE
Papua,LAPAS KELAS IIB NABIRE
Papua,LAPAS KELAS IIB SERUI
Papua,LAPAS KELAS IIB TIMIKA
Papua,LAPAS KELAS IIB WAMENA
